,company,date,price,ticker
0,Express Kenya Limited,11/11/2021,3.50,XPRS
1,Express Kenya Limited,12/11/2021,3.50,XPRS
2,Express Kenya Limited,23/10/2021,3.88,XPRS
3,Express Kenya Limited,13/11/2021,3.50,XPRS
4,Express Kenya Limited,24/10/2021,3.88,XPRS
5,Express Kenya Limited,25/10/2021,3.88,XPRS
6,Express Kenya Limited,14/11/2021,3.50,XPRS
7,Express Kenya Limited,26/10/2021,3.50,XPRS
8,Express Kenya Limited,27/10/2021,3.79,XPRS
9,Express Kenya Limited,15/11/2021,3.80,XPRS
10,Express Kenya Limited,28/10/2021,4.00,XPRS
11,Express Kenya Limited,29/10/2021,4.00,XPRS
12,Express Kenya Limited,16/11/2021,3.54,XPRS
13,Express Kenya Limited,30/10/2021,4.00,XPRS
14,Express Kenya Limited,31/10/2021,4.00,XPRS
15,Express Kenya Limited,17/11/2021,3.54,XPRS
16,Express Kenya Limited,1/11/2021,4.19,XPRS
17,Express Kenya Limited,2/11/2021,4.19,XPRS
18,Express Kenya Limited,18/11/2021,3.80,XPRS
19,Express Kenya Limited,3/11/2021,4.19,XPRS
20,Express Kenya Limited,4/11/2021,4.22,XPRS
21,Express Kenya Limited,19/11/2021,3.80,XPRS
22,Express Kenya Limited,22/11/2021,3.80,XPRS
23,Express Kenya Limited,5/11/2021,4.22,XPRS
24,Express Kenya Limited,01/07/2021,4,XPRS
25,Express Kenya Limited,02/07/2021,4,XPRS
26,Express Kenya Limited,03/07/2021,4,XPRS
27,Express Kenya Limited,04/07/2021,4,XPRS
28,Express Kenya Limited,05/07/2021,4,XPRS
29,Express Kenya Limited,06/07/2021,4,XPRS
30,Express Kenya Limited,07/07/2021,4,XPRS
31,Express Kenya Limited,08/07/2021,4,XPRS
32,Express Kenya Limited,09/07/2021,4,XPRS
33,Express Kenya Limited,10/07/2021,4,XPRS
34,Express Kenya Limited,11/07/2021,4,XPRS
35,Express Kenya Limited,12/07/2021,4,XPRS
36,Express Kenya Limited,13/07/2021,4.4,XPRS
37,Express Kenya Limited,14/07/2021,4.4,XPRS
38,Express Kenya Limited,15/07/2021,4.4,XPRS
39,Express Kenya Limited,16/07/2021,4.4,XPRS
40,Express Kenya Limited,17/07/2021,4.4,XPRS
41,Express Kenya Limited,18/07/2021,4.4,XPRS
42,Express Kenya Limited,19/07/2021,4.4,XPRS
43,Express Kenya Limited,20/07/2021,4.4,XPRS
44,Express Kenya Limited,21/07/2021,4.4,XPRS
45,Express Kenya Limited,22/07/2021,4.14,XPRS
46,Express Kenya Limited,23/07/2021,4.03,XPRS
47,Express Kenya Limited,27/07/2021,4.03,XPRS
48,Express Kenya Limited,28/07/2021,4.03,XPRS
49,Express Kenya Limited,29/07/2021,4.14,XPRS
50,Express Kenya Limited,30/07/2021,4.14,XPRS
51,Express Kenya Limited,31/07/2021,4.14,XPRS
52,Express Kenya Limited,01/08/2021,4.14,XPRS
53,Express Kenya Limited,02/08/2021,4.14,XPRS
54,Express Kenya Limited,03/08/2021,4.14,XPRS
55,Express Kenya Limited,04/08/2021,4.14,XPRS
56,Express Kenya Limited,05/08/2021,4.14,XPRS
57,Express Kenya Limited,06/08/2021,4.5,XPRS
58,Express Kenya Limited,07/08/2021,4.5,XPRS
59,Express Kenya Limited,08/08/2021,4.5,XPRS
60,Express Kenya Limited,09/08/2021,4.5,XPRS
61,Express Kenya Limited,10/08/2021,4.5,XPRS
62,Express Kenya Limited,11/08/2021,4.59,XPRS
63,Express Kenya Limited,12/08/2021,4.2,XPRS
64,Express Kenya Limited,13/08/2021,4.2,XPRS
65,Express Kenya Limited,14/08/2021,4.2,XPRS
66,Express Kenya Limited,15/08/2021,4.2,XPRS
67,Express Kenya Limited,16/08/2021,4.14,XPRS
68,Express Kenya Limited,17/08/2021,4.14,XPRS
69,Express Kenya Limited,18/08/2021,4.14,XPRS
70,Express Kenya Limited,19/08/2021,4.14,XPRS
71,Express Kenya Limited,20/08/2021,4.14,XPRS
72,Express Kenya Limited,21/08/2021,4.14,XPRS
73,Express Kenya Limited,22/08/2021,4.14,XPRS
74,Express Kenya Limited,23/08/2021,4.14,XPRS
75,Express Kenya Limited,24/08/2021,4.14,XPRS
76,Express Kenya Limited,25/08/2021,4.14,XPRS
77,Express Kenya Limited,26/08/2021,3.81,XPRS
78,Express Kenya Limited,27/08/2021,4.19,XPRS
79,Express Kenya Limited,28/08/2021,4.19,XPRS
80,Express Kenya Limited,29/08/2021,4.19,XPRS
81,Express Kenya Limited,30/08/2021,4.6,XPRS
82,Express Kenya Limited,31/08/2021,4.6,XPRS
83,Express Kenya Limited,01/09/2021,4.55,XPRS
84,Express Kenya Limited,02/09/2021,4.2,XPRS
85,Express Kenya Limited,03/09/2021,4.2,XPRS
86,Express Kenya Limited,04/09/2021,4.2,XPRS
87,Express Kenya Limited,05/09/2021,4.2,XPRS
88,Express Kenya Limited,06/09/2021,4,XPRS
89,Express Kenya Limited,07/09/2021,4,XPRS
90,Express Kenya Limited,08/09/2021,4,XPRS
91,Express Kenya Limited,09/09/2021,4,XPRS
92,Express Kenya Limited,10/09/2021,4.4,XPRS
93,Express Kenya Limited,11/09/2021,4.4,XPRS
94,Express Kenya Limited,12/09/2021,4.4,XPRS
95,Express Kenya Limited,13/09/2021,4.4,XPRS
96,Express Kenya Limited,14/09/2021,4.4,XPRS
97,Express Kenya Limited,15/09/2021,4.4,XPRS
98,Express Kenya Limited,16/09/2021,4.4,XPRS
99,Express Kenya Limited,17/09/2021,4.4,XPRS
100,Express Kenya Limited,18/09/2021,4.4,XPRS
101,Express Kenya Limited,19/09/2021,4.4,XPRS
102,Express Kenya Limited,20/09/2021,4.4,XPRS
103,Express Kenya Limited,21/09/2021,4.61,XPRS
104,Express Kenya Limited,22/09/2021,4.61,XPRS
105,Express Kenya Limited,23/09/2021,4.5,XPRS
106,Express Kenya Limited,24/09/2021,4.5,XPRS
107,Express Kenya Limited,25/09/2021,4.5,XPRS
108,Express Kenya Limited,26/09/2021,4.5,XPRS
109,Express Kenya Limited,27/09/2021,4.5,XPRS
110,Express Kenya Limited,28/09/2021,4.5,XPRS
111,Express Kenya Limited,29/09/2021,4.5,XPRS
112,Express Kenya Limited,30/09/2021,4.45,XPRS
113,Express Kenya Limited,01/10/2021,4.39,XPRS
114,Express Kenya Limited,02/10/2021,4.39,XPRS
115,Express Kenya Limited,03/10/2021,4.39,XPRS
116,Express Kenya Limited,04/10/2021,4.39,XPRS
117,Express Kenya Limited,05/10/2021,4.21,XPRS
118,Express Kenya Limited,06/10/2021,4.4,XPRS
119,Express Kenya Limited,6/11/2021,4.22,XPRS
120,Express Kenya Limited,20/11/2021,3.80,XPRS
121,Express Kenya Limited,18/10/2021,4.40,XPRS
122,Express Kenya Limited,7/11/2021,4.22,XPRS
123,Express Kenya Limited,8/11/2021,3.80,XPRS
124,Express Kenya Limited,7/10/2021,4.40,XPRS
125,Express Kenya Limited,8/10/2021,4.40,XPRS
126,Express Kenya Limited,9/10/2021,4.40,XPRS
127,Express Kenya Limited,10/10/2021,4.40,XPRS
128,Express Kenya Limited,11/10/2021,4.40,XPRS
129,Express Kenya Limited,12/10/2021,4.40,XPRS
130,Express Kenya Limited,13/10/2021,4.40,XPRS
131,Express Kenya Limited,14/10/2021,4.40,XPRS
132,Express Kenya Limited,9/11/2021,3.80,XPRS
133,Express Kenya Limited,15/10/2021,4.40,XPRS
134,Express Kenya Limited,16/10/2021,4.40,XPRS
135,Express Kenya Limited,17/10/2021,4.40,XPRS
136,Express Kenya Limited,10/11/2021,3.80,XPRS
137,Express Kenya Limited,21/11/2021,3.80,XPRS
138,Express Kenya Limited,23/11/2021,3.80,XPRS
139,Express Kenya Limited,24/11/2021,4.05,XPRS
